SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Valiant (1959),,,Sloop,,,12/1823,1823,12,,Cape May,,,Stranded,,,,,,,,,"New Bern, NC","New York, NY",,,,,,,,,,N,,
Vapor (1884),,L H Hopkins,Schooner,1854,"Black Rock, CT",5/14/1884,1884,5,14,Barnegat,,,Collision,Wood,,113.4,30.2,10.4,242,,"New York, NY","Brunswick, GA","New York, NY",Haley,,,,,,,,,N,#25634,
Veloz,,,Brig,,,2/12/1881,1881,2,12,Point Pleasant LSS N,,,Stranded,,,,,,145,,"Barcelona, Spain","Ponce, Puerto Rico","New York, NY",Zugasti,18,,0,3500,0,In ballast,Pt Pleasant #10,Y,N,Total loss,See scrapbooks 38 - 43 - Purple Misc
Venezuela,,Red D Line,Steamer,1889,"Philadelphia, PA",2/5/1892,1892,2,5,Brigantine Shoal,39-24-00 N,74-18-00 W,Stranded,Steel,US,303.6,40.2,20.5,2843,2037.49,"Eilmington, DE","LaGuayra, Venezuela","New York, NY",Chambers,72,,0,300000,550000,Coffee & hides,N & S Brigantine,N,N,#161616; Refloated 2/8/1892,
Victoria,,Rosenbilds Bros,Brig,1858,Rookeck,12/24/1871,1871,12,24,Asbury Park 1st Ave,,,Stranded,,,,,14.1,280,,Norway,"Liverpool, England","New York, NY",Englebrecht,10,,,18000,,Salt,Long Branch #5,N,N,Refloated,
Villotine,,,Bark,,,12/26/1891,1891,12,26,Squan Beach,,,Stranded,,Italy,,,,653,,,"Genoa, Italy","New York, NY",C Chappelle,15,,0,22000,,Marble,Squan #9,N,N,Refloated,
Virgin de Montserrat,,,Bark,,,1/23/1875,1875,1,23,Highlands S 30 mi,,,Collision,,Spain,,,,,,,"Havana, Cuba","New York, NY",Cash,,,,,,,,,N,,
Virginia (1844),,,Schooner,,,3/18/1844,1844,3,18,Sandy Hook,,,Collision,Wood,US,,,,,,,"Norfolk, VA","New York, NY",Bedell,,,3,,,Corn; flour,,Y,N,"Total loss; Brew rescued by ""Emily""",
Vista,,,Schooner,,,1/2/1854,1854,1,2,Brigantine Beach South End,39-23-00 N,74-23-30 W,Stranded,,,,,,,,"Belfast, Ireland","Philadelphia, PA","New York, NY",Hall,5,,,,,Dried fish,,,N,,
W C Warner,,William C Warner,Brig,1881,"Plympton, NS",10/30/1886,1886,10,30,Bayhead LSS N 1.25 mi,,,Stranded,Wood,Canada,89,25.6,9.9,144,,"Plympton, NS","Demerara, British Guiana","New York, NY",Warner,8,,0,6000,12400,"Hogsheads, Nails",Bayhead & Mantaloking,N,N,#80793; Refloated,
W H Jones,,,Schooner,,,3/2/1876,1876,3,2,Absecon Inlet N,,,Mechanical damage,,,,,,,,"Jones Landing, James River, VA","Jones Landing, James River, VA","New York, NY",,,,,4000,,330 cords of wood,330 cords wood,Y,N,Total loss,
W J Stairs,,Alex Roy,Bark,1879,"Maitland, NS",3/2/1882,1882,3,2,Long Branch LSS N 1 mi,40-17-20 N,73-58-20 W,Stranded,Wood,England,189,33.2,22,1062,,"Maitland, NS","Liverpool, England","New York, NY",Kenneth McKenzie,14,,1,30000,7000,Salt,Long Beach #21,Y,N,Total loss,
W S Lindsay,,Horace Gray,Sailing ship,1854,"Bath, ME",12/13/1863,1863,12,13,Sandy Hook,,,Stranded,Wood,US,186,37,29,1165,,"Bath, ME","Havre, France","New York, NY",Patten,,300,0,,,,,Y,N,Cargo saved; ship lost,
Wabash,,,,,,9/27/1850,1850,9,27,Long Beach Island,,,Stranded,,,,,,,,,"New Orleans, LA","New York, NY",,,,,,,,,,N,,
Walters,,,Sailing ship,,,1/16/1807,1807,1,16,Sandy Hook,,,Stranded,,,,,,,,,"Amsterdam, Neth","New York, NY",Homer,,,0,,,,,Y,N,Total loss,
Warren B Potter,W B Potter,Elioha Gibson,Schooner,1879,"Bath, ME",5/21/1885,1885,5,21,Long Beach LSS NE 1.5 mi,,,Stranded,Wood,US,126.6,32.4,8.6,368.34,349.92,"New Bedford, MA","San Domingo, WI","New York, NY",George E Andrews,8,,0,8000,25000,Sugar,Long Beach & Bonds,N,N,#80723; Refloated,
Washington (1871A),,,Schooner,,,1/20/1871,1871,1,20,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded,,US,,,,,,,"Norfolk, VA","New York, NY",Joline,5,,0,2800,800,Oysters,,Y,N,Total loss,
Washtenaw,,Union Oil,Steamer,1887,"West Hartlepool, Eng",5/8/08,1908,5,8,Chadwick LSS NE 100 yds,,,Stranded,Steel,US,312.1,42.6,24.6,2896,2000,"New York, NY","Sabine, TX","New York, NY",,27,,0,200000,50000,Petroleum,Chadwicks & Toms River,N,N,#81499; Refloated,
Wave (1871),,,,,,11/25/1871,1871,11,25,Absecon Beach,,,Stranded,,,,,,,,,"Port of Yorktown, Virginia","New York, NY",Bakee,6,,0,3500,,Wood,Great Egg,Y,N,Total loss,
Wave Crest,,,Schooner,1865,"Wilmington, DE",3/31/1888,1888,3,31,Hereford Inlet North bar,,,Stranded,,,117.5,29.5,13,399.7,285.16,"New York, NY","Norfolk, VA","New York, NY",Hewitt,7,,0,5000,6000,Lumber,Here ford Inlet,,N,#26659,
Webster,,Stafford Bros,Ship,1850,"Portsmouth, NH",4/9/1873,1873,4,9,Barnegat S 10 mi,,,Stranded,,US,,,,23,17.17,"New York, NY","Bell River, SC","New York, NY",C H Nirris,,,,,,700 ton phosphate rock,,Y,N,Total loss,
Wellington,,,Steamer,1904,"Port Richmond, NY",2/5/26,1926,2,5,Brigantine Shoal SE 4.5 mi,39-26-48 N,74-12-48 W,Collision,Steel,US,126,27,15.8,334,227,"Philadelphia, PA","Eastport, FL","New York, NY",,18,,0,,,,,Y,N,#201287; Total loss,
Wells City,,James Askell & Co,Steamer,,,3/11/1893,1893,3,11,Seabright LSS,,,Stranded,Steel,England,261.2,36,20.9,1814,1136,"Bristol, England","Bristol, England","New York, NY",Savage,31,,0,145000,50000,Tin plate,Seabright & Monmouth Beach #4,N,N,Refloated,
Wescustago,,,Schooner,,,9/18/1849,1849,9,18,Sandy Hook,,,Collision,,,,,,,,"Baltimore, MD","Baltimore, MD","New York, NY",,,,,,,,,Y,N,Total loss; sank,
Wesley & Seymour,,,Brig,,,1/28/1873,1873,1,28,Barnegat Inlet E 8 mi,,,Collision,,England,,,,,,,"Milk River, Jamaica","New York, NY",,,,,,,,,N,N,Damaged,
West Jersey,,,Paddlewheel Steam ferry,1864,"Camden, NJ",12/23/1885,1885,12,23,Toms River LSS S 7 mi,,,Stranded,,,,,,380,280.51,"Camden, NJ","Camden, NJ","New York, NY",,,,1,5000,,in ballast,Toms River & Island Beach,Y,N,#26963; Broke up; total loss,
Western World,,D & A Kingsland,Packet,1845,"Portsmouth, NH",10/22/1853,1853,10,22,Squan Beach E 400yds,40-09-00 N,74-01-00 W,Stranded,Wood,US,183,40,20,1354,,"New York, NY","Liverpool, England","New York, NY",John G Moses,,600,0,,,"China, cowboy spurs, misc",,,Y,,
White Squall,,Cumberland Coal Co,Schooner,1852,"Newburgh, NY",2/27/1855,1855,2,27,Sandy Hook Romer Shoal,,,Stranded,Wood,,,,9,250,,"New York, NY","Baltimore, MD","New York, NY",Smith,,,,,,,,,N,,
Wieland,,Hamburg American Line,Motor,1874,"Glasgow, Scotland",9/14/1890,1890,9,14,Sandy Hook Romer Shoal,,,Stranded,,Germany,385,40,32,3594,,,"Hamburg, Germany","New York, NY",Barends,,,,,,,,N,N,Refloated; Scrapped 1895,
William E Lee (1891A),,J C Cottingham,Schooner,1877,"Dennisville, NJ",2/16/1891,1891,2,16,Sandy Hook Romer Shoal,,,Stranded,Wood,US,138,34,12,507.81,475.77,"Philadelphia, PA","Philadelphia, PA","New York, NY",Garwood,7,,0,16000,1910,764 ton coal,Sandy Hook,N,N,#80617; Refloated; Partial loss,
William Enges,,,Bark,,,10/31/1846,1846,10,31,Squan Inlet S 1 mi,,,Stranded,,,,,,,,"Newport, RI","New Orleans, LA","New York, NY",Boss,,,,,,"Cotton, pork & lard",,Y,N,Total loss; Some cargo saved,
William Gibbons,,,Steamer,,,1/2/1836,1836,1,2,Sandy Hook,,,Mechanical damage,,,,,,,,,"Charleston, SC","New York, NY",,,,6,,,,,,N,6 killed; several wounded,
William H Mills (1881),,Ebenezer Parker,Sloop,,,1/21/1881,1881,1,21,Sandy Hook LSS E 1 mi,,,Stranded,Wood,US,,,,11.83,,"Little Egg Harbor, NJ","Little Egg Harbor, NJ","New York, NY",James W Parker,2,,0,800,450,Oysters,Sandy Hook #1,Y,N,#80412; Total loss,
William H Van Brunt,,,Schooner,,,10/26/1886,1886,10,26,Ship Bottom S 1.5 mi,,,Stranded,,,,,,260,,"New York, NY","Jacksonville, FL","Albany, NY",Houghwout,7,,0,12000,4000,Lumber,Ship Bottom,Y,N,Total loss,
William Kemble,,,Schooner,,,6/23/1841,1841,6,23,Barnegat Light S 4 mi,,,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,Y,N,Ship & cargo total loss,
William Layton,,,Ship,,,5/18/1854,1854,5,18,Squan Inlet S 5.5 mi,40-01-42 N,74-03-00 W,Stranded,Wood,,,,,,,,"Antwerp, Belgium","New York, NY",Carpenter,,490,0,,,"Lead, zinc, glass, hardware",,N,N,,"Also see ""Coriolan"" & ""Montezuma"""
William Patten,,,Ship,,,1/16/1859,1859,1,16,Squan Inlet S 10 mi,,,Stranded,Wood,US,,,,,,"Richmond, ME","Penang, Malaysia","New York, NY",,,,,,,,,N,N,Refloated,
William S McCabe,,,Schooner,1882,"Milford, DE",5/7/1885,1885,5,7,"Long Branch, NJ",,,Collision,,,,,,183,,"Wilmington, DE","Rappahannock, VA","New York, NY",E T Williams,5,,0,,,"12,500 bushells corn",,Y,N,#80929; Total loss,
William Spear,,,Schooner,,,4/22/1840,1840,4,22,Absecon Beach,,,Stranded,,,,,,,,"Havana, Cuba","Havana, Cuba","New York, NY",,,,0,,,,,Y,N,Ship and cargo lost; crew saved,
William Thompson,,A P Doane et al,Schooner,1865,"Kennebunk, ME",10/10/1879,1879,10,10,Barnegat LSS E 1 mi,,,Stranded,Wood,,86.8,21.9,8,92,,"South Dennis, MA","Cartagena, Spain","New York, NY",Miller,6,,0,5000,4000,Coconuts,Barnegat,N,N,#26090; Refloated after dumping cargo,
Wilson & Hunting,,,Schooner,1883,"Alexandria, VA",11/9/04,1904,11,9,Barnegat Light E 10 mi,,,Collision,Wood,US,152,35,11.6,418,344,"Norfolk, VA","Norfolk, VA","New York, NY",Robert Walton,7,1,4,,,Pilings,,Y,N,#80976; Total loss; Capt & wife lost,See Misc File Drawer
Xebec,,,Schooner,,,4/14/1880,1880,4,14,Sandy Hook,,,Stranded,,,,,,400,,"Bear River, NS","Ponce, Puerto Rico","New York, NY",Dunham,7,,0,15000,12000,Molasses,Sandy Hook #1,,N,,
Yazoo,,,Schooner,,,3/25/1846,1846,3,25,Absecon Beach,,,Stranded,,,,,,,,"Baltimore, MD","Georgetown, SC","New York, NY",William H Harrison,,,,,,581 bbls tar; 18 bales cotton,,Y,N,Total loss,
Yum Chi,,,Ship,,,4/25/1848,1848,4,25,Little Egg Harbor Inlet,39-36-00 N,74-12-06 W,Stranded,,,,,,420,,,"Canton, China","New York, NY",,21,,,,2700,"Tea, silk and valuable merchandice",,Y,N,Total loss,
Zilphia Ann,,,Schooner,,,3/25/1841,1841,3,25,Sandy Hook,,,Stranded,,,,,,,,,"Beaufort, NC","New York, NY",Sabiston,,,,,,,,N,N,Refloated; no damage,
Zodiak,,Murray Ferris et al,Steamer,1864,"Fair Haven, CT",10/5/1872,1872,10,5,Five Fathoms Bank Light,,,Collision,,US,,,17.5,568,,"New York, NY","Morehead City, NC","New York, NY",Isaac Hines,,,,,,,,N,N,Damaged; Made way to NY,
